Source,Gmag,BPmag,RPmag,Dist,Teff,Rad,Lum-Flame,Mass-Flame,Age-Flame
245092828443032192,12.530726,12.933923,11.953978,998.6323,7096.219,2.9707,15.43537,1.801,1.25
133391483667675776,13.156946,13.45987,12.688255,847.8904,5765.9097,1.7492,3.0676024,1.107,7.377999999999999
4036735758943681664,14.050703,15.335391,12.9371,3664.403,4623.2515,23.4853,282.19098,3.701,0.217
112145551766588288,11.959801,12.27844,11.46705,473.3941,6761.2144,1.5568,4.535278,1.386,1.6230000000000002
32229438884938624,14.645412,15.130578,14.001674,502.3514,5304.8984,0.7156,0.4808719,0.889,3.903
524548758209092096,15.750085,16.444443,14.876526,1875.779,15409.904,1.3811,149.51518000000002,,
432095567074346496,14.923057,15.337168,14.31848,3268.4534,10910.788,2.6916,142.00858,3.108,0.254
123371251950427136,12.246136,13.087222,11.347043,81.8234,4260.535,0.6547,0.12957194,0.6679999999999999,11.324000000000002
4042242766031568512,12.781937,14.24731,11.603945,5204.2246,3629.8115,83.8489,424.3828,1.971,1.246
157648187646389760,14.975758,15.706842000000002,14.136076999999998,1297.3842,5155.972,2.4209,6.7100697,1.45,3.039
226916698643896576,14.97936,16.166285000000002,13.90811,3644.7434,6098.5464,10.7998,103.03776,2.702,0.501
2184250908820791040,9.933026,10.073635,9.679861,330.0413,7343.545,1.8409,8.901825,1.6230000000000002,1.126
151006961319587712,13.81736,14.334623,13.13038,857.8792,6320.3647,1.7619999999999998,5.8665023000000005,1.426,2.638
36502003632977024,14.046520999999998,14.681576000000002,13.276743,291.6997,4739.2227,0.7792,0.27395284,0.763,11.117
3115692975876881152,13.473023,13.781435,12.999259,1392.5277,7855.18,2.0782,20.593977,1.946,0.894
2167129446891330560,15.725934,19.885674,14.128961,2919.9019,3547.3894,81.6825,623.4694,1.925,1.345
197126388865087104,12.231672,12.622104,11.675779,343.6779,5710.599,1.2121,1.4212961000000002,0.952,11.619000000000002
1890374093775920512,9.752424,9.913651,9.456925,386.8763,7671.488,2.4703,17.157745000000002,1.867,0.98
4045819786620831872,13.449018,14.7979,12.293232,11486.591,3820.3237,103.8821,349.18518,1.97,1.247
2947992954149030784,11.106988,11.284588,10.79527,438.2113,7370.2573,1.5606,6.217002,1.535,0.6509999999999999
164971141245119488,14.746473000000002,15.197147,14.104249,1201.3906,6210.3433,1.4649,4.31528,1.33,3.178
1561793977346907776,15.324545,16.289007,14.352673,246.1346,3932.9805,0.5859,0.07437493,0.599,9.265
47543986593019520,14.602966,15.166694,13.878354000000002,1035.982,5715.8086,1.6812,3.1820982000000004,1.113,7.281000000000001
2233947185123913600,9.176569,9.276887,8.975575,255.1554,7599.6914,1.91,12.815636,1.815,0.499
118993207103396480,13.629195,14.183597,12.912697,584.2888,5369.8936,1.5461,2.2578661,1.0,11.332
110701240162210048,14.442601000000002,14.844109,13.863828,856.5902,5752.0366,1.1587,1.3346303,0.974,9.702
172498122970902656,12.958923,13.348369,12.397748,665.8255,6142.84,1.6515,2.9873392999999995,1.221,3.844
2010274737282923392,12.218858,12.429544,11.864309,946.5797,9248.659,1.9684,23.318205,2.105,0.35
200692315530837888,15.778832,16.205833,15.061809,2222.6345,10044.577,1.4609,20.321356,,
2135766912797081088,9.947975,12.039929,8.599544999999999,1595.6998,3367.7932,104.0198,1044.906,1.927,1.346
169142654004295424,14.766761,15.361379,14.029037,494.7926,5253.301,0.8036,0.46842617,0.871,5.33
1809783190010672128,14.498565,16.148535,13.283016,13910.202,3615.0242,100.2064,1646.8215,1.921,1.357
139954880891527552,13.491084,13.782957,13.032773,1047.2756,6154.5728,1.7231,3.5975330000000003,1.275,3.582
201783443382081664,15.038775,15.267485,14.64768,5291.214,10137.746,3.0658,38.439972,2.393,0.221
2268500540614196224,9.975804,10.089745,9.75981,341.8185,7608.437,1.7709,9.279647,1.6569999999999998,0.885
4041416998507936256,15.125814000000002,17.688885,13.698651000000002,6172.8013,3862.689,94.7071,2169.6885,1.794,1.668
751396664350379392,15.497015,16.658903,14.428946,177.8231,3694.1045,0.4859,0.040126238,0.511,9.723
197024477880028288,14.652724,15.072498,13.956983,739.6633,5854.3374,0.9999,7.154418499999999,1.233,5.391
4116305383866855296,16.323874,17.180943,15.285319,3200.9707,15121.238,2.338,90.40009,,
2211302365193540352,14.527743,15.184646,13.725198,2195.976,7831.64,3.563,38.470646,2.226,0.732
407256014551795712,11.787462,12.011451,11.413857,784.9253,7310.3247,2.2641,9.883329,1.653,1.189
464461890860921088,15.306783,16.591396,14.196487,3624.0254,6096.076,10.2866,167.05727,3.1460000000000004,0.318
102509431858620160,10.11651,10.449346,9.618909,152.4952,5629.22,1.3194,1.6366131000000002,0.953,12.474
62093068050780928,13.326701000000002,13.788731,12.689883,520.5279,5967.9805,1.2663,1.857347,1.082,5.96
189855013530121344,14.283993,14.521431,13.885051999999998,4441.163,9932.049,3.7416,118.18349,2.93,0.335
1342642137197452928,17.133646,17.115396,17.109217,20231.312,19701.895,1.8423,505.26178,,
2070514883428500352,10.540918,10.782102,10.144216,561.2083,7862.8555,2.885,29.09143,2.093,0.82
136534158481566080,11.897481,12.256869,11.364416,344.7318,6247.534000000001,1.2982,2.2848253,1.177,3.022
175642309613339648,14.850571,15.303056,14.210979,1041.2539,5707.205,1.2627,1.7556763,0.979,11.01
487440515648551424,11.362341,11.683413,10.865198,1207.2192,8258.744,4.8963,53.84547,2.407,0.601
1748787129611149952,16.949429000000002,16.78301,16.438651999999998,13345.805,9992.443,2.6216,13.396399,,
142104323044026368,13.909806,14.206557,13.451705,1545.7538,6310.611999999999,2.0481,6.803545,1.476,2.427
3083895580636305408,10.943981,10.958842,10.901052,830.8079,9248.08,2.0396,20.95069,2.072,0.2769999999999999
179363336136435200,13.998873,15.329851,12.874639,1882.5176,5219.799,11.624,185.4988,3.7,0.217
102566950060445952,12.693877,13.075579,12.135803,512.3861,5634.9897,1.4954,1.7359383999999998,0.957,12.49
184344295609577728,15.251748999999998,16.502876,14.149477,2866.9216,6900.7646,7.3986,110.90035,2.842,0.414
174279056930319616,15.493048000000002,16.670507,14.428863,2133.2979,4965.044,5.5974,16.350756,1.953,1.255
1968329085932761216,15.070164000000002,16.24834,13.981445,150.1276,3750.1633,0.5187,0.049528703,0.5379999999999999,12.804
157385473087234560,14.219002,15.174119,13.255760999999998,3570.634,5102.9424,12.4549,150.33206,3.289,0.293
4053806188000384000,16.098175,18.892347,14.634618,2383.9854,4980.542,22.6208,1942.1403,1.923,1.342
260584431877581184,11.728806,12.05093,11.234891,452.2907,7121.2656,1.653,6.426139,1.5119999999999998,1.185
95651880914961664,14.563361,14.960164,14.000002,698.5319999999999,5293.701,0.911,0.5930838,0.843,12.565
137032207185604992,14.581776,15.013366,13.984454,628.2892,5302.517,0.8654,0.593046,0.897,6.379
25126559409579008,13.189825,13.577441,12.632653,399.0857,5679.281999999999,0.9216,0.8320145,0.98,3.889
3410983243170845568,13.390239,14.527424,12.32546,80.0511,3749.976,0.5609,0.05743066,0.5579999999999999,12.816
430300854862658048,15.102325,15.427721,14.591413,4415.3965,10628.234,2.9164,53.8662,2.59,0.212
4041359205414135168,16.558779,18.168955,15.295053,1920.1819,15011.712,2.7653,,,
3825393406223174144,14.6245,15.767297,13.563849,123.0224,3723.2495,0.4947,0.04259695,0.517,11.696
2945058078436505472,12.234517,13.787513,11.045609,5982.529,3676.8945,116.5666,2192.0144,1.923,1.341
270486633601056640,16.310646,16.912989000000003,15.549468,3380.7305,9888.492,2.0749,37.564137,2.362,0.285
166677445853834880,14.926037,15.494271,14.206888,3194.5613,5266.298000000001,4.6664,15.19663,1.9,1.354
68417665090776704,13.961293,14.43808,13.32036,480.1302,5641.852,0.9019,0.7841088,0.974,3.556
1280761897663082368,15.253598,15.251096,15.253117,9802.333,10009.667,3.0264,86.45000999999999,2.755,0.35
4269342941349259136,14.06277,14.840527,13.189621,3724.8215,21497.38,5.194,,,
64893451149256448,12.146648,12.481439,11.642666,507.0223,6506.813,1.5769,4.4324694,1.349,2.547
3058822867236712064,13.324198,13.572043,12.925303,1500.7855,7332.519,2.1997,11.102712,1.696,1.157
5822829245014572032,17.507656,17.536432,17.137028,12779.068,15397.0,1.5587,127.40072,,
3285363700396290304,14.259048000000002,15.403234,13.195968,122.657,3569.0034,0.6074,0.05219797,0.546,11.376
139888974616426496,13.276063,13.569845999999998,12.81957,772.3558,6315.218000000001,1.3565,2.564747,1.205,2.87
2164290580908578560,12.530945,12.812203,12.085252,1458.683,8314.443000000001,3.1569,56.292084,2.435,0.578
1972860040213874816,15.343683,16.482302,14.269065,211.5569,3731.2664,0.619,0.06622653,0.578,12.491
229690869558756992,15.407159,16.413206,14.414874,1574.3563,5319.515,3.3375,7.687615400000001,1.529,2.576
2466088861798267264,15.158766,16.25425,14.115213,196.0937,3820.546,0.5879,0.06708413,0.579,11.823
506522814829903872,9.827906,10.022049,9.474346,1919.0164,30626.195,5.6532,,,
2251649734645874048,14.233026,15.247229999999998,13.230255,132.3998,3888.7788,0.5535,0.06380938,0.573,12.892
4035738020875731456,13.657922,14.737644,12.630342,4123.829000000001,4982.4834,22.4006,223.98985,3.798,0.203
156040873444972288,14.920694,15.449719,14.22331,1051.4229,6644.1064,1.2898,4.130368,1.346,1.94
427260052378251136,10.517591,10.649737,10.23114,2256.3720000000003,16395.314,6.7761,3430.875,6.772,
170520994907991296,13.068019,13.77934,12.246161,2819.4727,4689.9253,13.2452,66.49542,3.002,0.377
407305389498616576,11.226088,11.529027,10.751197,716.04,8176.3374,2.9696,43.81433,2.298,0.664
