REF_DATE,GEO,DGUID,Type of structure,Type of unit,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,POP
2001,"Charlottetown, Prince Edward Island",2011S0504105,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824184,7.1.3,566.0,,,,0,62181.0
2001,"Charlottetown, Prince Edward Island",2011S0504105,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824318,7.1.4,654.0,,,,0,62181.0
2001,"Charlottetown, Prince Edward Island",2011S0504105,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824452,7.4.1,359.0,,,,0,62181.0
2001,"Charlottetown, Prince Edward Island",2011S0504105,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824640,7.4.2,453.0,,,,0,62181.0
2001,"Charlottetown, Prince Edward Island",2011S0504105,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824828,7.4.3,569.0,,,,0,62181.0
2001,"Charlottetown, Prince Edward Island",2011S0504105,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825016,7.4.4,675.0,,,,0,62181.0
2001,"Summerside, Prince Edward Island",2011S0504110,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822932,8.3.1,304.0,,,,0,16638.0
2001,"Summerside, Prince Edward Island",2011S0504110,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823066,8.3.2,408.0,,,,0,16638.0
2001,"Summerside, Prince Edward Island",2011S0504110,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823200,8.3.3,537.0,,,,0,16638.0
2001,"Summerside, Prince Edward Island",2011S0504110,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823334,8.3.4,557.0,,,,0,16638.0
2001,"Summerside, Prince Edward Island",2011S0504110,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823736,8.2.3,536.0,,,,0,16638.0
2001,"Summerside, Prince Edward Island",2011S0504110,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823870,8.2.4,560.0,,,,0,16638.0
2001,"Summerside, Prince Edward Island",2011S0504110,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3824004,8.1.1,378.0,,,,0,16638.0
2001,"Summerside, Prince Edward Island",2011S0504110,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824138,8.1.2,410.0,,,,0,16638.0
2001,"Summerside, Prince Edward Island",2011S0504110,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824272,8.1.3,537.0,,,,0,16638.0
2001,"Summerside, Prince Edward Island",2011S0504110,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824406,8.1.4,542.0,,,,0,16638.0
2001,"Summerside, Prince Edward Island",2011S0504110,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824589,8.4.1,404.0,,,,0,16638.0
2001,"Summerside, Prince Edward Island",2011S0504110,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824777,8.4.2,422.0,,,,0,16638.0
2001,"Summerside, Prince Edward Island",2011S0504110,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824965,8.4.3,546.0,,,,0,16638.0
2001,"Summerside, Prince Edward Island",2011S0504110,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825153,8.4.4,543.0,,,,0,16638.0
2001,"Cape Breton, Nova Scotia",2011S0504225,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822871,9.3.1,359.0,,,,0,112031.0
2001,"Cape Breton, Nova Scotia",2011S0504225,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823005,9.3.2,409.0,,,,0,112031.0
2001,"Cape Breton, Nova Scotia",2011S0504225,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823139,9.3.3,517.0,,,,0,112031.0
2001,"Cape Breton, Nova Scotia",2011S0504225,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823273,9.3.4,619.0,,,,0,112031.0
