"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823256","169.3.4","1120","","","","0"
"2013","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823256","169.3.4","1144","","","","0"
"2014","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823256","169.3.4","1181","","","","0"
"2015","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823256","169.3.4","1077","","","","0"
"2016","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823256","169.3.4","1220","","","","0"
"2017","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823256","169.3.4","1289","","","","0"
"2018","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823256","169.3.4","1358","","","","0"
"2019","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823256","169.3.4","1520","","","","0"
"2020","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823256","169.3.4","1660","","","","0"
"2021","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823256","169.3.4","1927","","","","0"
"2022","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823256","169.3.4","2193","","","","0"
"2023","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823256","169.3.4","2274","","","","0"
"2024","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823256","169.3.4","2313","","","","0"
"2010","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823390","169.2.1","","F","","","0"
"2011","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823390","169.2.1","","F","","","0"
"2012","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823390","169.2.1","","F","","","0"
"2013","Kelowna, British Columbia","2011S0503915","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823390","169.2.1","","F","","","0"
