"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Winnipeg, Manitoba","2021S0503602","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431491","18.7.1.4","110900","C","","","0"
"2020","Winnipeg, Manitoba","2021S0503602","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431491","18.7.1.4","118400","B","","","0"
"2021","Winnipeg, Manitoba","2021S0503602","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431491","18.7.1.4","112200","B","","","0"
"2022","Winnipeg, Manitoba","2021S0503602","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431491","18.7.1.4","110700","B","","","0"
"2023","Winnipeg, Manitoba","2021S0503602","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431491","18.7.1.4","112700","B","","","0"
"2000","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","111200","B","","","0"
"2001","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","114500","B","","","0"
"2002","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","106900","B","","","0"
"2003","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","103500","B","","","0"
"2004","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","107000","B","","","0"
"2005","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","110800","B","","","0"
"2006","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","110100","C","","","0"
"2007","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","114600","B","","","0"
"2008","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","117100","C","","","0"
"2009","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","119100","C","","","0"
"2010","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","124300","C","","","0"
"2011","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","124800","B","","","0"
"2012","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","126900","B","","","0"
"2013","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","130100","C","","","0"
"2014","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","114500","C","","","0"
"2015","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","126600","B","","","0"
"2016","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","127800","C","","","0"
"2017","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","127500","B","","","0"
"2018","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","129800","B","","","0"
"2019","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","118300","B","","","0"
"2020","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","147300","B","","","0"
"2021","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","136600","B","","","0"
"2022","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","134800","B","","","0"
"2023","Winnipeg, Manitoba","2021S0503602","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431551","18.8.1.4","136000","A","","","0"
"2000","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","150700","C","","","0"
"2001","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","149600","B","","","0"
"2002","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","160600","C","","","0"
"2003","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","142200","C","","","0"
"2004","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","149100","C","","","0"
"2005","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","148200","C","","","0"
"2006","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","174800","C","","","0"
"2007","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","172400","D","","","0"
"2008","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","167800","D","","","0"
"2009","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","170000","D","","","0"
"2010","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","148800","C","","","0"
"2011","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","162100","C","","","0"
"2012","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","171400","D","","","0"
"2013","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","176800","C","","","0"
"2014","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","163600","B","","","0"
"2015","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","174100","C","","","0"
"2016","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","167600","C","","","0"
"2017","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","181600","B","","","0"
"2018","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","173400","C","","","0"
"2019","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","195000","D","","","0"
"2020","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","187600","C","","","0"
"2021","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","177700","C","","","0"
"2022","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","179000","B","","","0"
"2023","Winnipeg, Manitoba","2021S0503602","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431611","18.9.1.4","173600","B","","","0"
"2000","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","41100","D","","","0"
"2001","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","41800","D","","","0"
"2002","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","50400","D","","","0"
"2003","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","50700","D","","","0"
"2004","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","50200","D","","","0"
"2005","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","59300","D","","","0"
"2006","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","49200","D","","","0"
"2007","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","45700","E","","","0"
"2008","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","54500","E","","","0"
"2009","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","50700","E","","","0"
"2010","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","51500","E","","","0"
"2011","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","57200","D","","","0"
"2012","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","49500","D","","","0"
"2013","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","56900","D","","","0"
"2014","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","53900","C","","","0"
"2015","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","51300","D","","","0"
"2016","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","54400","D","","","0"
"2017","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","61900","C","","","0"
"2018","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","52800","D","","","0"
"2019","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","51900","D","","","0"
"2020","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","70600","D","","","0"
"2021","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","73100","D","","","0"
"2022","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","64600","C","","","0"
"2023","Winnipeg, Manitoba","2021S0503602","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431671","18.10.1.4","59600","C","","","0"
"2000","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","82200","C","","","0"
"2001","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","82200","D","","","0"
"2002","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","83400","D","","","0"
"2003","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","86800","D","","","0"
"2004","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","91600","D","","","0"
"2005","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","95400","C","","","0"
"2006","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","108800","C","","","0"
"2007","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","101000","D","","","0"
"2008","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","100400","D","","","0"
"2009","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","94000","D","","","0"
"2010","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","106000","D","","","0"
"2011","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","93700","D","","","0"
"2012","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","92600","D","","","0"
"2013","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","86600","C","","","0"
"2014","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","114400","C","","","0"
"2015","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","91000","D","","","0"
"2016","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","88600","D","","","0"
"2017","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","97900","C","","","0"
"2018","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","99400","C","","","0"
"2019","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","93800","D","","","0"
"2020","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","92800","C","","","0"
"2021","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","102900","C","","","0"
"2022","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","94900","C","","","0"
"2023","Winnipeg, Manitoba","2021S0503602","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431731","18.11.1.4","90200","C","","","0"
"2000","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","33400","C","","","0"
"2001","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","41300","D","","","0"
"2002","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","40500","C","","","0"
"2003","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","41800","D","","","0"
"2004","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","37900","C","","","0"
"2005","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","37300","C","","","0"
"2006","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","41100","D","","","0"
"2007","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","43500","C","","","0"
"2008","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","44900","D","","","0"
"2009","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","45800","C","","","0"
"2010","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","40700","D","","","0"
"2011","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","44100","C","","","0"
"2012","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","41400","C","","","0"
"2013","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","41500","C","","","0"
"2014","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","44300","C","","","0"
"2015","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","44100","C","","","0"
"2016","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","42900","C","","","0"
"2017","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","39200","C","","","0"
"2018","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","44800","C","","","0"
"2019","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","42500","C","","","0"
"2020","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","43900","C","","","0"
"2021","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","45900","C","","","0"
"2022","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","46700","B","","","0"
"2023","Winnipeg, Manitoba","2021S0503602","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96431911","18.14.1.4","45700","B","","","0"
"2000","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","101200","D","","","0"
"2001","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","112200","C","","","0"
"2002","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","108800","D","","","0"
"2003","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","92400","D","","","0"
"2004","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","107500","C","","","0"
"2005","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","125200","D","","","0"
"2006","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","145200","C","","","0"
"2007","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","153000","D","","","0"
"2008","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","136300","D","","","0"
"2009","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","138100","D","","","0"
"2010","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","145300","C","","","0"
"2011","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","159400","C","","","0"
"2012","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","148300","D","","","0"
"2013","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","152300","D","","","0"
"2014","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","147600","D","","","0"
"2015","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","164300","D","","","0"
"2016","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","109900","D","","","0"
"2017","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","141700","C","","","0"
"2018","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","136800","C","","","0"
"2019","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","136300","D","","","0"
"2020","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","128500","C","","","0"
"2021","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","128000","C","","","0"
"2022","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","141000","C","","","0"
"2023","Calgary, Alberta","2021S0503825","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432331","19.7.1.4","137700","C","","","0"
"2000","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","118500","C","","","0"
"2001","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","121900","C","","","0"
"2002","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","124000","B","","","0"
"2003","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","121400","C","","","0"
"2004","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","128400","C","","","0"
"2005","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","133200","C","","","0"
"2006","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","139100","D","","","0"
"2007","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","144200","C","","","0"
"2008","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","146500","C","","","0"
"2009","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","143000","C","","","0"
"2010","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","137000","C","","","0"
"2011","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","150800","D","","","0"
"2012","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","176300","D","","","0"
"2013","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","179700","D","","","0"
"2014","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","175000","D","","","0"
"2015","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","154800","C","","","0"
"2016","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","135800","C","","","0"
"2017","Calgary, Alberta","2021S0503825","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96432391","19.8.1.4","140700","B","","","0"
