"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","","F","","","0"
"2010","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","","F","","","0"
"2011","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","","F","","","0"
"2012","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","","F","","","0"
"2013","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","","F","","","0"
"2014","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","","F","","","0"
"2015","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","74300","D","","","0"
"2016","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","64000","D","","","0"
"2017","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","74400","D","","","0"
"2018","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","70700","D","","","0"
"2019","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","97500","D","","","0"
"2020","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","103200","D","","","0"
"2021","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","95500","D","","","0"
"2022","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","93700","C","","","0"
"2023","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","89100","C","","","0"
"2000","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","","F","","","0"
"2001","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","64100","D","","","0"
"2002","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","76500","D","","","0"
"2003","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","74400","D","","","0"
"2004","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","","F","","","0"
"2005","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","","F","","","0"
"2006","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","84800","D","","","0"
"2007","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","83900","E","","","0"
"2008","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","","F","","","0"
"2009","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","","F","","","0"
"2010","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","","F","","","0"
"2011","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","","F","","","0"
"2012","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","","F","","","0"
"2013","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","","F","","","0"
"2014","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","","F","","","0"
"2015","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","","F","","","0"
"2016","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","","F","","","0"
"2017","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","95600","E","","","0"
"2018","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","77700","E","","","0"
"2019","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","","F","","","0"
"2020","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","125500","C","","","0"
"2021","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","94300","D","","","0"
"2022","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","93800","C","","","0"
"2023","Québec, Quebec","2021S0503421","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428371","14.11.1.4","87300","C","","","0"
"2000","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","31400","D","","","0"
"2001","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","31200","C","","","0"
"2002","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","37300","D","","","0"
"2003","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","40200","D","","","0"
"2004","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","41300","D","","","0"
"2005","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","33000","C","","","0"
"2006","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","40100","D","","","0"
"2007","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","35300","D","","","0"
"2008","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","40100","D","","","0"
"2009","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","44500","D","","","0"
"2010","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","39500","D","","","0"
"2011","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","43700","E","","","0"
"2012","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","41000","E","","","0"
"2013","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","40800","D","","","0"
"2014","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","36600","E","","","0"
"2015","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","44200","C","","","0"
"2016","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","43300","D","","","0"
"2017","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","46700","C","","","0"
"2018","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","45900","C","","","0"
"2019","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","45600","C","","","0"
"2020","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","49800","C","","","0"
"2021","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","51400","C","","","0"
"2022","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","53100","B","","","0"
"2023","Québec, Quebec","2021S0503421","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428551","14.14.1.4","50800","B","","","0"
"2000","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","87600","C","","","0"
"2001","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","88900","C","","","0"
"2002","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","83600","C","","","0"
"2003","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","87600","C","","","0"
"2004","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","90500","C","","","0"
"2005","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","96000","B","","","0"
"2006","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","91500","C","","","0"
"2007","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","99700","C","","","0"
"2008","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","104300","C","","","0"
"2009","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","104400","C","","","0"
"2010","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","99300","D","","","0"
"2011","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","93300","C","","","0"
"2012","Montréal, Quebec","2021S0503462","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428971","15.7.1.4","102800","C","","","0"
